,college_name,max,min,mean,fess,rating,public/private
0,"Veermata Jijabai Technological Institute(VJTI), Matunga, Mumbai",99.9132362,99.843394,99.87938037,"30,000",10,1.0
1,COEP Technological University,99.9337842,99.7773039,99.85975245,"40,000",9,1.0
2,"Bhartiya Vidya Bhavan's Sardar Patel Institute  of Technology , Andheri, Mumbai",99.6919285,99.6298405,99.66349725,300000,10,1.0
3,"Pune Institute of Computer Technology, Dhankavdi, Pune",99.8435944,99.5257939,99.64396183,200000,10,1.0
4,"Shri Vile Parle Kelvani Mandal's Dwarkadas J. Sanghvi College of Engineering, Vile Parle,Mumbai",99.6015936,99.2957413,99.40199246,67000,10,1.0
5,"Bansilal Ramnath Agarawal Charitable Trust's Vishwakarma Institute of Technology, Bibwewadi, Pune",99.6688264,98.9968802,99.27079049,90000,10,1.0
6,"Pimpri Chinchwad Education Trust, Pimpri Chinchwad College of Engineering, Pune",99.2240264,98.8438758,99.02940835,78000,10,1.0
7,"MKSSS's Cummins College of Engineering for Women, Karvenagar,Pune",99.4204148,98.6765609,98.98664502,56000,10,0.0
8,"Thadomal Shahani Engineering College, Bandra, Mumbai",99.1541532,98.5491179,98.88512645,100000,9,1.0
9,"B.R.A.C.T's Vishwakarma Institute of Information Technology, Kondhwa (Bk.), Pune",98.91938,98.4160917,98.61333043,120000,7,1.0
10,"Vivekanand Education Society's Institute of Technology, Chembur, Mumbai",99.7528986,98.036957,98.58425212,180000,9,0.0
11,K J Somaiya Institute of Technology,98.6310614,97.964123,98.27312258,40000,8,1.0
12,"Dr. D. Y. Patil Pratishthan's D.Y.Patil College of Engineering Akurdi, Pune",98.0804777,97.7872542,97.94642668,50000,9,0.0
13,"Thakur College of Engineering and Technology, Kandivali, Mumbai",99.3568514,97.6924899,98.16660213,67000,4,0.0
14,"Pune Vidyarthi Griha's College of Engineering and Technology and G K Pate(Wani) Institute of  Management,  Pune",98.2988025,97.6493402,97.8877772,78000,6,0.0
15,"Vidyalankar Institute of Technology,Wadala, Mumbai",98.617183,97.5717544,98.0348591,56000,7,0.0
16,"Jaywant Shikshan Prasarak Mandal's,Rajarshi Shahu College of Engineering, Tathawade, Pune",98.3078886,97.3720281,97.77610365,78000,4,1.0
17,"Pimpri Chinchwad Education Trust's Pimpri Chinchwad College Of Engineering And Research, Ravet",98.0099502,97.3600644,97.62623983,67000,8,1.0
18,"Agnel Charities' FR. C. Rodrigues Institute of Technology, Vashi, Navi Mumbai",98.3162275,97.3134328,97.72552055,45000,6,0.0
19,"Fr. Conceicao Rodrigues College of Engineering, Bandra,Mumbai",98.8912886,97.2771336,97.70552838,62000,8,0.0
20,"MIT Academy of Engineering,Alandi, Pune",97.9344897,97.0529612,97.5948713,56000,10,0.0
21,"All India Shri Shivaji Memorial Society's College of Engineering, Pune",98.0217464,96.9302413,97.37574805,120000,8,0.0
22,"All India Shri Shivaji Memorial Society's Institute of Information Technology,Pune",98.6523304,96.6737739,97.17981323,300000,7,0.0
23,"International Institute of Information Technology (IÂ²IT), Pune.",98.1185505,96.6535898,97.47246877,180000,9,0.0
24,"St. Francis Institute of Technology,Borivali, Mumbai",97.6981613,96.6535898,97.0877392,150000,6,1.0
25,"Dr. D. Y. Patil Unitech Society's Dr. D. Y. Patil  Institute of Technology, Pimpri, Pune",97.8065754,96.6258542,97.03421629,210000,7,0.0
26,"K. E. Society's Rajarambapu Institute of Technology, Walwa, Sangli",98.7017294,96.6258542,97.42156555,160000,8,1.0
27,"Government College of Engineering & Research, Avasari Khurd",96.8186638,96.4930621,96.6954613,45000,6,1.0
28,"Don Bosco Institute of Technology, Mumbai",97.0529612,96.3841754,96.7305274,130000,5,1.0
29,"Progressive Education Society's Modern College of Engineering, Pune",97.4346516,96.1081543,96.80834553,67000,8,1.0
30,"S.I.E.S. Graduate School of Technology, Nerul, Navi Mumbai",97.0533982,95.9209717,96.3334774,34000,7,1.0
31,"K. K. Wagh Institute of Engineering Education and Research, Nashik",98.7115006,95.8475702,96.69515103,45000,6,0.0
32,"Xavier Institute Of Engineering C/O  Xavier Technical Institute,Mahim,Mumbai",97.3720281,95.8135747,96.45309243,200000,8,1.0
33,"Dr. D.Y.Patil Institute of Engineering, Management & Reseach, Akurdi, Pune",97.6493402,95.7384206,96.43061248,40000,6,1.0
34,"Manjara Charitable Trust's Rajiv Gandhi Institute of Technology, Mumbai",96.9200835,95.6650859,96.30232818,56000,7,1.0
