Institute code,College Name,Fees,GOVERNMENT/PRIVATE,Location,Computer_ CET_cuttoff ,Computer_JEE_cuttoff ,GENERAL_cuttoff,OBC_cuttoffs,SC/ST_cuttoff,EWS_cuttoffs,Quota(management)(yes/no),Intakes(seats),Placement   (on_campus)(yes/no),college_hostels_available,Academic rating (out of 5),Faculty rating(out of 5),Infrastructure rating (out of 5),accomodation rating (out of 5),Placement rating (out of 5),Overall rating (out of 10)
2250,Aurangabad College of Engineering,60500,Un-Aided,"Gut No 52, Tuljapur Shivar,Harsul-Sawangi, Naygoan road,Aurangabad (M.S), India",80.04,61.1804012,78.87,69.3,56.74,80.04,Yes,60,Yes,Yes,,4,2.25,,4.5,
6605,COLLEGE OF ENGINEERING VAIRAG,60000,Un-Aided/ Non-Autonomus,"Dhengale-Patil Nagar, Sasure-Vairag, Gat No.67, Barshi - Solapur Rd, Vairag, Maharashtra 413402",69,65,69,65,67,76,yes,,,Yes,,,,,,
6609,JAIHIND COLLEGE OF ENGINEERING,75000,Un-Aided/ Autonomus,"SH 52, Narayangaon - Junnar Rd, Narayangaon, Pimpalgaon Tarfe Narayangaon, Maharashtra 410502",75.17,67.125118,78.8754662,76.6367377,48.0589023,78.5775598,Yes,120,Yes,Yes,,4,3,,1.25,
5322,JAMIA INSTITUTE OF ENGINEERING AND MANAGEMENT STUDIES,64600,Un-Aided Religious Minority-Muslim,"Jamia Campus, Molgi Road, Akkalkuva, Maharashtra 425415",78,69.55,76.67,74.2,44.56,78.34,Yes,,,yes,,,,,,
2245,"LEELAVATI AWHAD INSTITUTE OF TECHNOLOGY, MANAGEMENT STUDIES & RESEARCH",90000,Un-Aided/ Autonomus,"47XH+945, Kanhor, Maharashtra 421503",87,69.55,,,,65,Yes,,Yes,Yes,,,,,,
2252,Marathawada Shikshan Prasarak Mandal's Shri Shivaji Institute of Engineering and Management Studies,25000,Un-Aided,"Shri Shivaji Institute Of Engg. & Management Studies, Vasmat Road, Parbhani-431401",65.5,45.1138412,65.4207881,58.7429854,47.387098,69.2172491,Yes,60,Yes,Yes,,4.5,4.5,,4.5,
6444,SHRIRAM INSTITUTE OF ENGINEERING AND TECHNOLOGY CENTRE,35310,Un-Aided,"RXRC+R67, Paniv, Maharashtra 413118",89,18.3219912,82.34,76.5,43,75,Yes,120,Yes,Yes,,3.5,3.5,,2.5,
6625,Universal College of Engineering & Research,85000,Un-Aided,"S.No. 430, Sasewadi,( Near Katraj New Tunnel) Tal.Bhor,Dist. Pune 412 205.",82.25,73.8220541,82.251586,78.067557,76.839044,82.869523,Yes,120,Yes,Yes,,4.15,4.25,,4.5,
5408,Vidya Niketan Institute Of Engineering And Technology,64000,Un-Aided,"Pune-Nashik highway, At/post - Bota, Tal-Sangamner, Dist.- A. Nagar, 422602 Sangamner, Bota, Maharashtra 422602",59.9,33.7340887,59.8623853,50.6107355,,55.4490884,Yes,30,Yes,Yes,,4,3.5,,3,
2254,Vilasrao Deshmukh Foundation Group of Institutions,53000,Un-Aided/ Autonomus,"Plot No.165A, Additional MIDC,Near to Manjara Sugar, Barshi Road,Latur,Maharashtra 413531",71.3,67.423024,71.8303504,68.9337823,58.5474069,74.1356658,Yes,60,Yes,Yes,,3.5,3.5,,3.5,
5380,Adsuls Group Of Institutions,90000,Un-Aided,"tal-Chas ,dist-A.nagar",65.89,63.78,65.89,60.45,50.67,65.32,Yes,60,Yes,Yes,,3.75,3.5,,3.25,
